channel,age_band,n_products,age_min_years,age_max_years,median_price,median_ci_lo,median_ci_hi,geo_mean_price,p25_price,p75_price,min_price,max_price,n_sets,eras,reported,cohort_confound
mass_retail,<1yr,6,0.0,0.8333333333333334,114.85999999999999,70.795,178.33499999999998,110.4200273808673,71.33500000000001,166.02749999999997,70.66,187.69,6,ME,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
mass_retail,1-2yr,9,1.0,1.8333333333333333,140.09,118.02,167.22,142.75854724299174,123.9,156.61,116.58,200.65,7,ME/SV/other,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
mass_retail,2-3yr,8,2.0,2.8333333333333335,136.54500000000002,113.74,154.35,152.13815189489856,122.86749999999999,147.0,108.19,445.32,6,SV,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
mass_retail,3-5yr,13,3.0,4.916666666666667,194.55,155.7,325.56,221.90248073316747,155.7,325.56,135.58,569.14,12,SV/SWSH/other,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
mass_retail,5-8yr,18,5.083333333333333,7.833333333333333,192.115,143.325,565.745,331.3012521898374,142.5675,568.1675,113.48,4000.0,14,SM/SWSH,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
mass_retail,8yr+,15,8.0,10.833333333333334,830.82,635.89,1256.49,874.157590834105,660.65,1377.745,218.27,2999.19,13,SM/XY/other,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
pokemon_center,<1yr,6,0.0,0.8333333333333334,210.555,122.51,454.16499999999996,221.65676486421452,126.8725,378.365,121.01,499.06,6,ME,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
pokemon_center,1-2yr,8,1.0,1.8333333333333333,255.31,201.83,432.02,277.52304536204986,223.97,315.16249999999997,200.09,486.04,7,ME/SV/other,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
pokemon_center,2-3yr,8,2.0,2.8333333333333335,193.78,174.19,217.4,220.6610020111274,185.85250000000002,208.57999999999998,166.87,607.23,6,SV,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
pokemon_center,3-5yr,11,3.0,4.916666666666667,386.41,290.17,602.85,433.38366288083904,303.615,585.5450000000001,220.38,1320.91,10,SV/SWSH/other,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
pokemon_center,5-8yr,4,5.083333333333333,5.25,630.385,191.21,1086.53,458.41373219228745,198.155,1066.8575,191.21,1086.53,2,SWSH,True,"age = calendar_month - release_month, so within one calendar month age and release cohort are the SAME variable (R^2 = 1.0): this gradient is a vintage ranking as much as an ageing curve, and the cross-section cannot separate them"
